month,ii,jj,lat,lon,eddy_count_cyclonic,eddy_count_anticyclonic,eddy_count_total
2009-06,0,46,18.125,-86.375,0,3,3
2009-06,0,47,18.125,-86.125,0,1,1
2009-06,0,52,18.125,-84.875,1,0,1
2009-06,0,53,18.125,-84.625,4,0,4
2009-06,0,54,18.125,-84.375,1,0,1
2009-06,1,47,18.375,-86.125,0,3,3
2009-06,1,48,18.375,-85.875,0,2,2
2009-06,1,50,18.375,-85.375,1,0,1
2009-06,1,51,18.375,-85.125,2,0,2
2009-06,1,52,18.375,-84.875,3,0,3
2009-06,1,54,18.375,-84.375,6,0,6
2009-06,1,55,18.375,-84.125,2,0,2
2009-06,2,54,18.625,-84.375,1,0,1
2009-06,2,55,18.625,-84.125,2,0,2
2009-06,2,56,18.625,-83.875,6,0,6
2009-06,2,57,18.625,-83.625,1,0,1
2009-06,10,53,20.625,-84.625,0,1,1
2009-06,10,54,20.625,-84.375,0,4,4
2009-06,10,55,20.625,-84.125,0,3,3
2009-06,10,56,20.625,-83.875,0,1,1
2009-06,10,57,20.625,-83.625,0,3,3
2009-06,10,58,20.625,-83.375,0,4,4
2009-06,10,59,20.625,-83.125,0,2,2
2009-06,10,60,20.625,-82.875,0,1,1
2009-06,10,61,20.625,-82.625,0,3,3
2009-06,10,62,20.625,-82.375,0,1,1
2009-06,10,66,20.625,-81.375,1,0,1
2009-06,10,67,20.625,-81.125,5,0,5
2009-06,10,68,20.625,-80.875,1,0,1
2009-06,10,69,20.625,-80.625,1,0,1
2009-06,11,52,20.875,-84.875,0,5,5
2009-06,11,56,20.875,-83.875,0,2,2
2009-06,11,67,20.875,-81.125,3,0,3
2009-06,11,68,20.875,-80.875,5,0,5
2009-06,13,9,21.375,-95.625,0,7,7
2009-06,13,10,21.375,-95.375,0,7,7
2009-06,13,11,21.375,-95.125,0,10,10
2009-06,13,16,21.375,-93.875,6,0,6
2009-06,14,11,21.625,-95.125,0,3,3
2009-06,14,12,21.625,-94.875,0,3,3
2009-06,14,16,21.625,-93.875,6,0,6
2009-06,18,17,22.625,-93.625,1,0,1
2009-06,18,18,22.625,-93.375,2,0,2
2009-06,19,14,22.875,-94.375,1,0,1
2009-06,19,15,22.875,-94.125,2,0,2
2009-06,19,16,22.875,-93.875,3,0,3
2009-06,19,18,22.875,-93.375,3,0,3
2009-06,19,19,22.875,-93.125,5,0,5
2009-06,20,6,23.125,-96.375,5,0,5
2009-06,20,7,23.125,-96.125,4,0,4
2009-06,20,19,23.125,-93.125,1,0,1
2009-06,22,12,23.625,-94.875,1,0,1
2009-06,22,13,23.625,-94.625,1,0,1
2009-06,23,10,23.875,-95.375,1,0,1
2009-06,23,11,23.875,-95.125,2,0,2
2009-06,23,12,23.875,-94.875,1,0,1
2009-06,23,52,23.875,-84.875,9,0,9
2009-06,23,53,23.875,-84.625,8,0,8
2009-06,24,26,24.125,-91.375,1,0,1
2009-06,24,27,24.125,-91.125,1,0,1
2009-06,24,54,24.125,-84.375,12,0,12
2009-06,25,27,24.375,-91.125,1,0,1
2009-06,25,54,24.375,-84.375,1,0,1
2009-06,26,8,24.625,-95.875,0,4,4
2009-06,26,9,24.625,-95.625,0,7,7
2009-06,27,9,24.875,-95.625,0,6,6
2009-06,28,20,25.125,-92.875,0,7,7
2009-06,29,21,25.375,-92.625,0,8,8
2009-06,30,21,25.625,-92.625,0,2,2
2009-06,30,22,25.625,-92.375,0,13,13
2009-06,30,46,25.625,-86.375,0,20,20
2009-06,31,8,25.875,-95.875,10,0,10
2009-06,31,46,25.875,-86.375,0,3,3
2009-06,31,47,25.875,-86.125,0,7,7
2009-06,33,14,26.375,-94.375,1,0,1
2009-06,33,15,26.375,-94.125,12,0,12
2009-06,33,34,26.375,-89.375,3,0,3
2009-06,33,35,26.375,-89.125,3,0,3
2009-06,33,36,26.375,-88.875,1,0,1
2009-06,33,37,26.375,-88.625,8,0,8
2009-06,34,35,26.625,-89.125,10,0,10
2009-06,34,36,26.625,-88.875,3,0,3
2009-06,34,37,26.625,-88.625,2,0,2
2009-06,38,45,27.625,-86.625,2,0,2
2009-06,38,46,27.625,-86.375,4,0,4
2009-06,42,38,28.625,-88.375,0,2,2
2009-06,42,39,28.625,-88.125,0,1,1
2009-06,43,37,28.875,-88.625,0,1,1
2009-06,43,38,28.875,-88.375,0,2,2
2009-06,43,39,28.875,-88.125,0,2,2
2009-06,44,40,29.125,-87.875,0,3,3
2009-06,44,41,29.125,-87.625,0,17,17
2009-07,0,46,18.125,-86.375,4,0,4
2009-07,0,47,18.125,-86.125,4,0,4
2009-07,0,52,18.125,-84.875,0,1,1
2009-07,0,53,18.125,-84.625,0,1,1
2009-07,1,47,18.375,-86.125,1,0,1
2009-07,1,48,18.375,-85.875,4,0,4
2009-07,1,49,18.375,-85.625,5,0,5
2009-07,1,50,18.375,-85.375,2,0,2
2009-07,1,71,18.375,-80.125,0,3,3
2009-07,2,54,18.625,-84.375,0,2,2
2009-07,2,56,18.625,-83.875,0,1,1
2009-07,2,71,18.625,-80.125,0,3,3
2009-07,3,53,18.875,-84.625,0,1,1
2009-07,3,54,18.875,-84.375,0,2,2
2009-07,3,56,18.875,-83.875,0,2,2
2009-07,3,57,18.875,-83.625,0,4,4
