month,ii,jj,count_positions,n_individuals,lat,lon,eddy_count_cyclonic,eddy_count_anticyclonic,eddy_count_total
2009-06,0,46,0,0,18.125,-86.375,0,3,3
2009-06,0,47,0,0,18.125,-86.125,0,1,1
2009-06,0,52,0,0,18.125,-84.875,1,0,1
2009-06,0,53,0,0,18.125,-84.625,4,0,4
2009-06,0,54,0,0,18.125,-84.375,1,0,1
2009-06,1,47,0,0,18.375,-86.125,0,3,3
2009-06,1,48,0,0,18.375,-85.875,0,2,2
2009-06,1,50,0,0,18.375,-85.375,1,0,1
2009-06,1,51,0,0,18.375,-85.125,2,0,2
2009-06,1,52,0,0,18.375,-84.875,3,0,3
2009-06,1,54,0,0,18.375,-84.375,6,0,6
2009-06,1,55,0,0,18.375,-84.125,2,0,2
2009-06,2,54,0,0,18.625,-84.375,1,0,1
2009-06,2,55,0,0,18.625,-84.125,2,0,2
2009-06,2,56,0,0,18.625,-83.875,6,0,6
2009-06,2,57,0,0,18.625,-83.625,1,0,1
2009-06,10,53,0,0,20.625,-84.625,0,1,1
2009-06,10,54,0,0,20.625,-84.375,0,4,4
2009-06,10,55,0,0,20.625,-84.125,0,3,3
2009-06,10,56,0,0,20.625,-83.875,0,1,1
2009-06,10,57,0,0,20.625,-83.625,0,3,3
2009-06,10,58,0,0,20.625,-83.375,0,4,4
2009-06,10,59,0,0,20.625,-83.125,0,2,2
2009-06,10,60,0,0,20.625,-82.875,0,1,1
2009-06,10,61,0,0,20.625,-82.625,0,3,3
2009-06,10,62,0,0,20.625,-82.375,0,1,1
2009-06,10,66,0,0,20.625,-81.375,1,0,1
2009-06,10,67,0,0,20.625,-81.125,5,0,5
2009-06,10,68,0,0,20.625,-80.875,1,0,1
2009-06,10,69,0,0,20.625,-80.625,1,0,1
2009-06,11,52,0,0,20.875,-84.875,0,5,5
2009-06,11,56,0,0,20.875,-83.875,0,2,2
2009-06,11,67,0,0,20.875,-81.125,3,0,3
2009-06,11,68,0,0,20.875,-80.875,5,0,5
2009-06,13,9,0,0,21.375,-95.625,0,7,7
2009-06,13,10,0,0,21.375,-95.375,0,7,7
2009-06,13,11,0,0,21.375,-95.125,0,10,10
2009-06,13,16,0,0,21.375,-93.875,6,0,6
2009-06,14,11,0,0,21.625,-95.125,0,3,3
2009-06,14,12,0,0,21.625,-94.875,0,3,3
2009-06,14,16,0,0,21.625,-93.875,6,0,6
2009-06,18,17,0,0,22.625,-93.625,1,0,1
2009-06,18,18,0,0,22.625,-93.375,2,0,2
2009-06,19,14,0,0,22.875,-94.375,1,0,1
2009-06,19,15,0,0,22.875,-94.125,2,0,2
2009-06,19,16,0,0,22.875,-93.875,3,0,3
2009-06,19,18,0,0,22.875,-93.375,3,0,3
2009-06,19,19,0,0,22.875,-93.125,5,0,5
2009-06,20,6,0,0,23.125,-96.375,5,0,5
2009-06,20,7,0,0,23.125,-96.125,4,0,4
2009-06,20,19,0,0,23.125,-93.125,1,0,1
2009-06,22,12,0,0,23.625,-94.875,1,0,1
2009-06,22,13,0,0,23.625,-94.625,1,0,1
2009-06,23,10,0,0,23.875,-95.375,1,0,1
2009-06,23,11,0,0,23.875,-95.125,2,0,2
2009-06,23,12,0,0,23.875,-94.875,1,0,1
2009-06,23,52,0,0,23.875,-84.875,9,0,9
2009-06,23,53,0,0,23.875,-84.625,8,0,8
2009-06,24,26,0,0,24.125,-91.375,1,0,1
2009-06,24,27,0,0,24.125,-91.125,1,0,1
2009-06,24,54,0,0,24.125,-84.375,12,0,12
2009-06,25,27,0,0,24.375,-91.125,1,0,1
2009-06,25,29,1,1,24.375,-90.625,0,0,0
2009-06,25,54,0,0,24.375,-84.375,1,0,1
2009-06,26,8,0,0,24.625,-95.875,0,4,4
2009-06,26,9,0,0,24.625,-95.625,0,7,7
2009-06,27,9,0,0,24.875,-95.625,0,6,6
2009-06,27,30,1,1,24.875,-90.375,0,0,0
2009-06,27,31,1,1,24.875,-90.125,0,0,0
2009-06,28,20,0,0,25.125,-92.875,0,7,7
2009-06,28,31,2,1,25.125,-90.125,0,0,0
2009-06,29,21,0,0,25.375,-92.625,0,8,8
2009-06,29,31,1,1,25.375,-90.125,0,0,0
2009-06,30,21,0,0,25.625,-92.625,0,2,2
2009-06,30,22,0,0,25.625,-92.375,0,13,13
2009-06,30,31,1,1,25.625,-90.125,0,0,0
2009-06,30,46,0,0,25.625,-86.375,0,20,20
2009-06,31,8,0,0,25.875,-95.875,10,0,10
2009-06,31,31,3,1,25.875,-90.125,0,0,0
2009-06,31,46,0,0,25.875,-86.375,0,3,3
2009-06,31,47,0,0,25.875,-86.125,0,7,7
2009-06,32,31,2,1,26.125,-90.125,0,0,0
2009-06,33,14,0,0,26.375,-94.375,1,0,1
2009-06,33,15,0,0,26.375,-94.125,12,0,12
2009-06,33,30,1,1,26.375,-90.375,0,0,0
2009-06,33,34,0,0,26.375,-89.375,3,0,3
2009-06,33,35,0,0,26.375,-89.125,3,0,3
2009-06,33,36,0,0,26.375,-88.875,1,0,1
2009-06,33,37,0,0,26.375,-88.625,8,0,8
2009-06,34,23,2,1,26.625,-92.125,0,0,0
2009-06,34,24,1,1,26.625,-91.875,0,0,0
2009-06,34,35,0,0,26.625,-89.125,10,0,10
2009-06,34,36,0,0,26.625,-88.875,3,0,3
2009-06,34,37,0,0,26.625,-88.625,2,0,2
2009-06,35,24,1,1,26.875,-91.875,0,0,0
2009-06,35,26,1,1,26.875,-91.375,0,0,0
2009-06,35,29,1,1,26.875,-90.625,0,0,0
2009-06,36,24,6,1,27.125,-91.875,0,0,0
2009-06,36,29,1,1,27.125,-90.625,0,0,0
2009-06,37,25,1,1,27.375,-91.625,0,0,0
2009-06,37,28,1,1,27.375,-90.875,0,0,0
2009-06,37,29,1,1,27.375,-90.625,0,0,0
2009-06,38,23,1,1,27.625,-92.125,0,0,0
2009-06,38,24,1,1,27.625,-91.875,0,0,0
2009-06,38,26,2,1,27.625,-91.375,0,0,0
2009-06,38,27,1,1,27.625,-91.125,0,0,0
2009-06,38,45,0,0,27.625,-86.625,2,0,2
2009-06,38,46,0,0,27.625,-86.375,4,0,4
2009-06,39,28,2,1,27.875,-90.875,0,0,0
2009-06,40,28,4,2,28.125,-90.875,0,0,0
2009-06,42,38,0,0,28.625,-88.375,0,2,2
2009-06,42,39,0,0,28.625,-88.125,0,1,1
2009-06,43,37,0,0,28.875,-88.625,0,1,1
2009-06,43,38,0,0,28.875,-88.375,0,2,2
2009-06,43,39,0,0,28.875,-88.125,0,2,2
2009-06,44,40,0,0,29.125,-87.875,0,3,3
2009-06,44,41,0,0,29.125,-87.625,0,17,17
2009-07,0,46,0,0,18.125,-86.375,4,0,4
2009-07,0,47,0,0,18.125,-86.125,4,0,4
2009-07,0,52,0,0,18.125,-84.875,0,1,1
2009-07,0,53,0,0,18.125,-84.625,0,1,1
2009-07,1,47,0,0,18.375,-86.125,1,0,1
2009-07,1,48,0,0,18.375,-85.875,4,0,4
2009-07,1,49,0,0,18.375,-85.625,5,0,5
2009-07,1,50,0,0,18.375,-85.375,2,0,2
2009-07,1,71,0,0,18.375,-80.125,0,3,3
2009-07,2,54,0,0,18.625,-84.375,0,2,2
2009-07,2,56,0,0,18.625,-83.875,0,1,1
2009-07,2,71,0,0,18.625,-80.125,0,3,3
2009-07,3,53,0,0,18.875,-84.625,0,1,1
2009-07,3,54,0,0,18.875,-84.375,0,2,2
2009-07,3,56,0,0,18.875,-83.875,0,2,2
2009-07,3,57,0,0,18.875,-83.625,0,4,4
2009-07,3,70,0,0,18.875,-80.375,0,5,5
2009-07,3,71,0,0,18.875,-80.125,0,1,1
2009-07,5,63,0,0,19.375,-82.125,3,0,3
2009-07,5,64,0,0,19.375,-81.875,2,0,2
2009-07,6,62,0,0,19.625,-82.375,3,0,3
2009-07,6,63,0,0,19.625,-82.125,1,0,1
2009-07,6,65,0,0,19.625,-81.625,3,0,3
2009-07,6,66,0,0,19.625,-81.375,4,0,4
2009-07,7,62,0,0,19.875,-82.375,1,0,1
2009-07,7,66,0,0,19.875,-81.375,2,0,2
2009-07,7,67,0,0,19.875,-81.125,1,0,1
2009-07,8,66,0,0,20.125,-81.375,1,0,1
2009-07,9,55,0,0,20.375,-84.125,0,1,1
2009-07,10,54,0,0,20.625,-84.375,0,1,1
2009-07,10,62,0,0,20.625,-82.375,2,0,2
2009-07,10,66,0,0,20.625,-81.375,6,0,6
2009-07,11,7,0,0,20.875,-96.125,0,4,4
2009-07,11,8,0,0,20.875,-95.875,0,7,7
2009-07,11,13,0,0,20.875,-94.625,1,0,1
2009-07,11,52,0,0,20.875,-84.875,0,1,1
2009-07,11,53,0,0,20.875,-84.625,0,3,3
2009-07,11,54,0,0,20.875,-84.375,0,1,1
2009-07,12,6,0,0,21.125,-96.375,0,2,2
2009-07,12,7,0,0,21.125,-96.125,0,4,4
2009-07,12,8,0,0,21.125,-95.875,0,9,9
2009-07,12,9,0,0,21.125,-95.625,0,2,2
2009-07,12,53,0,0,21.125,-84.625,0,1,1
2009-07,13,9,0,0,21.375,-95.625,0,2,2
2009-07,13,14,0,0,21.375,-94.375,1,0,1
2009-07,13,15,0,0,21.375,-94.125,2,0,2
2009-07,13,16,0,0,21.375,-93.875,1,0,1
2009-07,14,15,0,0,21.625,-94.125,6,0,6
2009-07,14,16,0,0,21.625,-93.875,2,0,2
2009-07,18,13,0,0,22.625,-94.625,0,3,3
2009-07,19,13,0,0,22.875,-94.625,0,4,4
2009-07,19,14,0,0,22.875,-94.375,0,2,2
2009-07,20,14,0,0,23.125,-94.375,0,5,5
2009-07,21,47,0,0,23.375,-86.125,1,0,1
2009-07,21,48,0,0,23.375,-85.875,6,0,6
2009-07,21,49,0,0,23.375,-85.625,5,0,5
2009-07,21,50,0,0,23.375,-85.375,2,0,2
2009-07,22,48,0,0,23.625,-85.875,1,0,1
2009-07,22,50,0,0,23.625,-85.375,5,0,5
2009-07,22,51,0,0,23.625,-85.125,4,0,4
2009-07,23,8,0,0,23.875,-95.875,4,0,4
2009-07,23,9,0,0,23.875,-95.625,4,0,4
2009-07,23,10,0,0,23.875,-95.375,1,0,1
2009-07,23,19,0,0,23.875,-93.125,1,0,1
2009-07,23,20,0,0,23.875,-92.875,3,0,3
2009-07,23,21,0,0,23.875,-92.625,3,0,3
2009-07,23,22,0,0,23.875,-92.375,2,0,2
